# Constructed from biom file																																																																																																																												
Feature_ID	1-OK001-A	10-OK004-A	100-P0305-A	101-P0305-B	102-P0305-C	103-P0307-A	104-P0307-B	105-P0307-C	106-P0307-D	107-P0311-A	108-P0311-B	109-P0311-C	11-OK004-B	110-P0311-D	111-P0313-A	112-P0313-B	113-P0313-C	114-P0313-D	115-P0320-A	116-P0320-B	117-P0320-C	118-P0320-D	119-P0320-D2	12-OK004-C	120-P0321-A	121-P0321-B	122-P0321-C	123-P0321-D	13-OK005-A	14-OK005-B	15-OK005-C	16-OK006-A	17-OK006-B	18-OK006-C	19-OK007-A	2-OK001-B	20-OK007-B	21-OK007-C	22-OK008-A	23-OK008-B	24-OK008-C	25-OK009-A	26-OK009-B	27-OK009-C	28-OK010-A	29-OK010-B	3-OK001-C	30-OK010-C	31-P0001-A	32-P0001-A2	33-P0001-B	34-P0001-C	35-P0001-D	36-P0003-A	37-P0003-A2	38-P0003-B	39-P0003-C	4-OK002-A	40-P0003-D	41-P0004-A	42-P0004-B	43-P0004-C	44-P0004-D	45-P0004-D2	46-P0005-A	47-P0005-B	48-P0005-C	49-P0006-A	5-OK002-B	50-P0006-B	51-P0006-C	52-P0113-A	53-P0113-B	54-P0113-C	55-P0188-A	56-P0188-B	57-P0188-C	58-P0188-D	59-P0193-A	6-OK002-C	60-P0193-B	61-P0193-C	62-P0193-D	63-P0221-A	64-P0221-B	65-P0221-C	66-P0228-A	67-P0228-B	68-P0228-C	69-P0230-A	7-OK003-A	70-P0230-B	71-P0230-C	72-P0230-D	73-P0244-A	74-P0244-B	75-P0244-C	76-P0244-D	77-P0251-A	78-P0251-B	79-P0251-C	8-OK003-B	80-P0251-D	81-P0263-A	82-P0263-B	83-P0263-C	84-P0263-D	85-P0282-A	86-P0282-B	87-P0282-C	88-P0289-A	89-P0289-B	9-OK003-C	90-P0289-C	91-P0289-D	92-P0290-A	93-P0290-B	94-P0290-C	95-P0290-D	96-P0294-A	97-P0294-B	98-P0294-C	99-P0294-D	Blank
e8b0442820438300eb33910c045c82e7	29935	2773	2148	9771	1638	10863	26421	88	38814	2423	7578	13003	3529	917	37722	17166	22619	26637	9586	27292	14061	7079	3628	2665	1381	2631	8183	2471	3278	2279	4096	2677	10418	4710	3022	16932	8205	4354	2758	43136	3000	1593	39688	6356	1784	0	2681	24757	13263	16868	30709	9773	22898	19	19	31	3887	1443	3365	4155	6299	2342	4642	5132	2032	4171	8945	10758	25	4673	32019	36	29	34	17970	7719	10683	18141	27529	1089	17059	29	12	5813	2262	3490	26474	7752	45920	4536	3201	1422	3542	6999	14744	35955	9016	13361	2452	12617	32605	7786	4887	1896	7641	3472	10151	3433	2653	20171	36212	12331	47520	23793	12769	12271	6192	8553	3467	704	5575	67	8066	0
1354022b45b1d1a5a6246cffc62c6cf3	22	5623	5740	14119	25516	8159	32	0	11	12220	1267	11406	7952	4815	30	1805	51	379	0	14	624	3847	12499	14617	3593	806	2727	2830	3138	5944	1882	9976	35	5133	5353	0	1470	1449	5969	26	9575	2367	14	6013	3674	0	14595	11	8	19	736	11451	2596	0	27	48	23	6134	0	9721	13719	7281	22773	12485	7076	7092	6818	18650	10160	15007	10294	0	32	74	0	1943	342	10545	104	3304	1276	25883	188	9807	5789	17506	25	87	18	9227	5210	2207	13291	3395	9936	170	10593	3269	14021	884	30	11160	12934	8215	33725	23170	16224	11742	7358	6986	2696	11769	7	1659	4851	18103	13857	14448	9969	40600	0	34	34	0
d7e6c5da1f4ae4fcbd3810a04955bf5a	0	7858	7130	6968	7509	10812	139	0	21	8313	2304	8802	8219	3790	148	1372	89	1051	14655	26	1143	3119	5562	7683	3264	928	1977	2142	4521	6082	3395	5399	120	5901	5638	0	5169	9956	3558	25	4676	2276	0	4158	6830	15466	6654	0	0	0	346	12987	6180	1899	19623	15414	11329	7673	1678	5482	8762	8743	3925	4371	7843	6342	6747	3497	46	8830	3762	33	30284	33166	0	2229	657	9098	147	1863	1722	9991	57	2506	1388	3178	29	17640	0	2383	3359	1401	6087	1873	10951	721	8654	8669	4438	740	28	5448	3157	3283	14231	10226	3678	2123	4056	2143	1545	6711	0	1629	3393	8761	21564	13104	6169	4664	11805	95	31	0
b98678d2f65161093b9d0fa91376f8b9	0	6613	7052	2638	6086	12029	52	0	0	5909	1284	4548	4573	6363	2610	529	24	677	20	0	31	9	45	11533	1935	834	1626	4833	12851	7637	7328	4459	166	5503	9597	9	4004	4732	4166	112	3736	2116	0	6989	4319	0	6612	13	17	11	200	4343	7818	9741	11074	8532	4384	1945	6473	9925	8763	13036	11470	12891	2977	4586	6512	1447	34	8470	5562	59	36	69	3	1854	1359	9369	94	1647	4088	22225	10	12946	371	1092	38	25114	8	3084	2337	930	3119	463	13886	1303	13088	7233	7002	1224	17	1235	7203	13917	20957	26360	35904	3156	3166	3737	1705	3806	20	933	2724	11955	21384	8169	9490	17801	0	35	40	0
1da577dc465e6353a7f50ff65ee262f4	0	7996	18046	14873	13778	24	80	0	0	4693	3510	2333	5	8674	12	52	0	40	8038	0	1156	1317	3205	876	2452	1149	624	3384	3760	3697	501	3917	23	14	0	0	338	716	4234	0	3003	1644	0	23	5841	0	5496	0	0	0	82	7997	1689	0	0	0	7087	1113	6115	10865	4904	16335	6801	7626	5957	676	3785	1063	0	4198	87	7	10	0	31	2754	0	10990	10	3754	0	8	3	511	3020	13952	0	12	0	3057	1849	3924	22331	1660	11	0	52	11	0	0	0	1018	20	4696	4991	68	332	1467	8921	1769	1546	4188	0	179	4454	17519	18	11201	2530	0	0	0	0	0
9576c1f97994057981c452bffb90396d	0	6492	0	198	0	0	71	0	0	2012	3230	0	0	0	54	306	0	0	1553	0	730	2865	5876	19	12933	3592	63	23	23	14	278	3874	0	10	0	3	1359	7398	6780	6	3946	17084	0	0	4703	0	6174	0	0	0	14	635	0	0	0	0	0	2061	0	23	22	48	25	0	10701	0	2882	16611	0	0	2106	0	2942	15367	0	325	0	56	0	15942	913	20	0	0	0	0	6	22	0	13081	22759	16000	4242	9294	0	0	0	31	526	115	0	8816	47	0	0	16	26	2952	4276	728	8446	6625	7	332	27670	0	0	0	783	16	0	18	0	0
e71b4ae9cae999cc2f9b3c2f4ff19099	6	2375	2110	3816	2708	1606	58	11305	10	1941	702	3232	3738	1098	29	531	14	301	2488	0	582	3500	3502	3503	1394	578	673	1619	2123	3421	1762	2433	48	2137	2418	0	1221	1653	1643	0	1550	1491	0	1409	2208	0	2706	0	0	0	143	3735	1604	10743	7927	8071	3682	2485	6129	2620	4560	2694	1576	1471	1712	1092	2589	2285	4738	1837	2950	0	0	29	0	2442	190	2535	103	873	1783	10492	0	3455	2022	3947	13	9901	0	1396	1565	709	2643	736	4581	147	3626	3051	517	674	0	2137	4120	1735	2881	3081	20	2624	1396	1389	712	1884	0	282	2161	3235	4354	4088	2807	2289	1254	10869	13129	0
29dd611a49176e362ebb62b13a7894dd	22	2171	15	2013	832	5	29	7	6	2196	4361	1831	34	1228	446	224	57	787	0	92	0	4121	7767	1866	3118	360	717	799	15	1259	4551	2331	258	3273	2451	11	4634	5449	1396	118	3377	2161	15	1483	2634	7034	1392	61	81	62	92	17	673	0	20	18	0	1886	584	49	396	127	1368	1667	678	135	891	4815	4712	2972	1168	54	4967	7934	29	857	99	964	20	2271	649	0	0	5182	5839	3259	15	24	0	5832	4654	2279	665	10011	8300	582	701	10206	11522	1112	0	951	14634	6822	9	0	0	1831	1201	1616	2015	6154	15	490	5754	5609	2664	1592	5906	4714	2484	23	2934	0
c7e92baa7799ad4432c2f492b4852ef4	3	2382	0	347	19	0	67	0	0	1308	1711	0	0	0	29	177	0	387	1278	17	1220	2822	6994	0	3105	867	21	0	0	0	6178	2527	0	0	0	0	819	4066	3291	0	1637	6393	0	0	1618	0	930	0	0	0	0	878	35	0	0	0	20	1292	29	0	0	0	0	0	6681	0	4792	8334	0	0	534	27	1122	10603	0	1049	0	0	0	3338	949	0	0	13319	20318	9617	0	0	0	4906	10254	11428	3922	12541	0	8	0	0	1033	233	0	3654	0	0	0	0	0	391	1341	77	3979	1041	0	84	6567	87	27	0	8121	0	0	0	0	0
aed10f0c0d4e1a6aba375ddb177ce259	162	1117	382	2621	593	2294	159	705	18	2039	425	401	491	1388	413	742	43	348	2096	99	1023	751	474	2285	98	174	80	484	2050	863	1857	589	0	0	3196	0	345	631	295	20	160	182	14	692	277	423	1531	666	24	22	684	528	309	1593	2002	1091	339	245	1466	2477	2263	746	2304	2270	1411	2564	726	1339	1814	2094	297	282	5620	950	48	3692	211	608	19	368	342	4815	1474	1946	688	1420	65	3535	31	1034	1155	1833	436	887	1629	561	9416	339	222	1191	35	283	247	1636	382	590	2944	128	1537	441	167	2841	89	1091	146	518	2829	687	287	12721	3748	5011	830	0
